AnswerId,QuestionId
"7","4"
"12","11"
"18","17"
"21","9"
"22","9"
"26","17"
"27","11"
"29","13"
"30","25"
"31","6"
"33","14"
"37","25"
"44","39"
"45","39"
"49","24"
"51","36"
"52","34"
"53","34"
"56","48"
"58","48"
"60","34"
"62","59"
"65","61"
"68","66"
"71","19"
"73","25"
"76","42"
"77","42"
"78","4"
"81","34"
"82","36"
"84","16"
"86","4"
"87","85"
"89","79"
"92","90"
"93","88"
"97","85"
"98","88"
"99","88"
"100","85"
"103","13"
"107","104"
"110","104"
"111","108"
"112","104"
"113","108"
"114","108"
"116","108"
"124","80"
"127","126"
"128","126"
"133","123"
"135","129"
"139","126"
"141","129"
"142","126"
"143","126"
"147","42"
"148","146"
"149","145"
"151","145"
"152","146"
"153","146"
"154","85"
"155","108"
"158","146"
"159","104"
"160","129"
"161","104"
"165","145"
"166","163"
"167","164"
"169","126"
"170","163"
"183","123"
"190","123"
"195","173"
"197","194"
"199","180"
"206","134"
"207","176"
"210","192"
"212","192"
"229","9"
"233","231"
"235","231"
"236","176"
"238","234"
"243","234"
"253","227"
"258","192"
"266","265"
"268","265"
"269","260"
"274","227"
"276","227"
"283","227"
"290","174"
"291","289"
"292","289"
"297","176"
"298","289"
"304","109"
"307","260"
"310","308"
"329","328"
"331","328"
"332","330"
"335","328"
"338","337"
"339","336"
"342","337"
"344","260"
"347","336"
"352","36"
"354","336"
"356","308"
"357","13"
"359","260"
"360","308"
"362","361"
"363","308"
"364","361"
"367","88"
"368","227"
"375","371"
"384","382"
"388","361"
"391","387"
"392","387"
"396","371"
"397","72"
"407","164"
"411","48"
"412","108"
"430","192"
"451","371"
"467","17"
"471","337"
"473","470"
"483","438"
"497","469"
"509","482"
"516","173"
"518","469"
"519","514"
"521","173"
"522","88"
"525","337"
"529","180"
"530","264"
"531","19"
"532","265"
"536","502"
"537","263"
"538","535"
"539","180"
"540","123"
"541","535"
"551","387"
"555","549"
"566","564"
"568","564"
"576","371"
"582","562"
"583","564"
"585","580"
"586","580"
"589","561"
"590","580"
"591","580"
"595","594"
"597","580"
"598","371"
"599","173"
"600","438"
"602","601"
"605","601"
